Query_id       AP@10          AP@20         NDCG@10        NDCG@20    
1             0.43579        0.35785        0.11005        0.1695     
2             0.14317        0.13846        0.16422        0.10598    
3             0.33702        0.35204        0.09666        0.1005     
4               0.0          0.08956          0.0          0.10122    
5             0.48579        0.30977        0.11965        0.07722    
6             0.94528        0.80532        0.72776        0.57971    
7             0.91433        0.81658        0.76277        0.64862    
8               0.0            0.0            0.0            0.0      
9             0.09456        0.17649        0.10635        0.12023    
10            0.68464        0.60528        0.53627        0.39769    
11            0.32651        0.25902        0.09651        0.10067    
12            0.29218        0.35712        0.26437        0.2275     
13            0.24202        0.25022        0.13334        0.09885    
14            0.65992        0.46371        0.26996        0.17422    
15            0.0479         0.05739        0.07336        0.04735    
16            0.55536        0.43616        0.35199        0.2396     
17            0.65008        0.50954        0.35013        0.26147    
18            0.79476        0.67945        0.45501        0.40787    
19              0.0          0.01731          0.0          0.03551    
20            0.21401        0.17388        0.16095        0.10387    
21            0.59536        0.43192        0.30701        0.27889    
22            0.79893        0.65691        0.62543        0.4613     
23            0.51437        0.43478        0.42012        0.31462    
24            0.88044        0.75514        0.70222        0.52756    
25            0.42036        0.3492         0.26069        0.21713    
26            0.73782        0.57204        0.67587        0.46852    
27            0.64325        0.48427        0.38038        0.28387    
28            0.9421         0.7782         0.86302        0.66082    
29            0.42175        0.4404         0.2647         0.22242    
30            0.67349        0.60425        0.56239        0.36295    
31            0.04361        0.08868        0.08676        0.05599    
32              0.0            0.0            0.0            0.0      
33            0.33579        0.25971        0.17554        0.16842    
34              0.0            0.0            0.0            0.0      
35            0.38857        0.40254        0.38595        0.36113    
36            0.56353        0.54507        0.49827        0.53357    
37            0.17024        0.23521        0.17753        0.18931    
38            0.5173         0.45907        0.20655        0.22742    
39              1.0          0.88693        0.82084        0.58866    
40            0.56937        0.53258        0.54815        0.53057    
41            0.71143        0.63203        0.65286        0.52148    
42            0.8471         0.74181        0.76957        0.57179    
43            0.81282        0.60704        0.49745        0.32104    
44            0.63508        0.54706        0.30492        0.23517    
45            0.80921        0.79774        0.55989        0.56071    
46            0.50036        0.35049        0.26181        0.16896    
47            0.6306         0.6203         0.62939        0.46693    
48            0.62992        0.47761        0.43671        0.32022    
49            0.1929         0.12989        0.13886        0.08962    
50              0.0          0.06233          0.0          0.07801    

Mean Average Precision@10: 0.47618
Mean Average Precision@20: 0.41477
Mean Normalized Discounted Cumulative Gain@10: 0.33984
Mean Normalized Discounted Cumulative Gain@20: 0.27569
