Query_id       AP@10          AP@20         NDCG@10        NDCG@20    
1             0.04361        0.15278        0.04435        0.09851    
2             0.11246        0.12311        0.15176        0.09794    
3             0.0479         0.1109         0.02445        0.07377    
4               0.0          0.05362          0.0          0.0501     
5             0.03361        0.08368        0.02314        0.02814    
6             0.79476        0.65603        0.49345        0.4582     
7             0.85393        0.73411        0.68623        0.56406    
8               0.0            0.0            0.0            0.0      
9             0.2119         0.20627        0.20549        0.13262    
10            0.5173         0.43205        0.42402        0.35522    
11            0.2929         0.19324        0.07336        0.09104    
12            0.17401        0.26705        0.12239        0.20846    
13            0.06456        0.10546        0.0784         0.07474    
14            0.71325        0.49038        0.27729        0.17895    
15            0.02111        0.07743        0.06625        0.08238    
16            0.48702        0.36293        0.28007        0.22645    
17            0.11567        0.18416        0.11409        0.14285    
18            0.46159        0.45694        0.31148        0.26926    
19              0.0          0.02889          0.0          0.03838    
20            0.1929         0.16333        0.13886        0.10282    
21            0.37746        0.30815        0.15851        0.20953    
22            0.70353        0.58226        0.47794        0.37862    
23            0.31341        0.34478        0.29758        0.2284     
24            0.56421        0.56692        0.53101        0.37821    
25            0.38702        0.32522        0.26203        0.21827    
26            0.40036        0.31354        0.32731        0.27754    
27            0.4694         0.36224        0.25284        0.23282    
28            0.79587        0.72382        0.75645        0.63574    
29            0.2898         0.37443        0.22858        0.19993    
30            0.75238        0.6437         0.62428        0.4161     
31            0.13246        0.13311        0.10174        0.06566    
32              0.0            0.0            0.0            0.0      
33            0.15317        0.21034        0.18155        0.13038    
34              0.0            0.0            0.0            0.0      
35            0.21401        0.23541        0.20512        0.2415     
36            0.20762        0.35933        0.30935        0.44888    
37            0.18651        0.23977        0.16973        0.18344    
38            0.2029         0.19818        0.06749        0.08886    
39            0.90183        0.80811        0.65653        0.53157    
40            0.2744         0.32516        0.23275        0.36006    
41            0.69143        0.61381        0.64612        0.50595    
42            0.8571         0.75038        0.82676        0.56992    
43            0.83282        0.61704        0.43084        0.27805    
44            0.49992        0.44487        0.26486        0.22625    
45            0.80893        0.79374        0.48745        0.53469    
46            0.55036        0.37549        0.34478        0.22251    
47            0.65103        0.53891        0.47539        0.3807     
48            0.62992        0.48215        0.43671        0.32146    
49            0.06456        0.07657        0.0784         0.08466    
50            0.06456        0.08303        0.0784         0.08611    

Mean Average Precision@10: 0.36231
Mean Average Precision@20: 0.33426
Mean Normalized Discounted Cumulative Gain@10: 0.26851
Mean Normalized Discounted Cumulative Gain@20: 0.23419
